epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,13487.7,0.69682,1.7368,0.60812,1.19933,0.90519,0.86939,0.89693,0.68087,0.93479,0.90127,0.92819,0.56989,0.89071,1.90323,0.73648,1.50379,0.000808828,0.000808828,0.000808828
54,13746.9,0.70168,1.77226,0.60356,1.21065,0.87893,0.923,0.92739,0.72575,0.92346,0.90414,0.93109,0.62481,0.84702,1.74347,0.70327,1.44605,0.000792325,0.000792325,0.000792325
55,13995.5,0.71319,1.72016,0.57311,1.22911,0.91228,0.86956,0.89337,0.64226,0.94728,0.90499,0.93078,0.55121,0.86076,1.68648,0.70954,1.46539,0.000775822,0.000775822,0.000775822
56,14221.3,0.71176,1.7412,0.59136,1.23526,0.92518,0.85448,0.89227,0.69802,0.94299,0.90591,0.91741,0.6165,0.84898,1.81564,0.77071,1.44353,0.000759318,0.000759318,0.000759318
57,14450.1,0.68525,1.68741,0.58051,1.21578,0.87476,0.86842,0.89394,0.74432,0.90386,0.90038,0.92811,0.65288,0.812,1.73336,0.71979,1.41265,0.000742815,0.000742815,0.000742815
58,14678.8,0.66279,1.73914,0.56793,1.20026,0.9118,0.86523,0.89727,0.73671,0.95348,0.8929,0.92399,0.63955,0.88534,1.78508,0.73725,1.51293,0.000726312,0.000726312,0.000726312
59,14845.9,0.65284,1.7304,0.59026,1.17284,0.91087,0.86145,0.88168,0.70516,0.94518,0.89713,0.91985,0.62904,0.79329,1.67744,0.70304,1.36441,0.000709809,0.000709809,0.000709809
60,14999.7,0.67879,1.69142,0.58169,1.19583,0.91844,0.87112,0.89503,0.7446,0.95338,0.90677,0.92657,0.64338,0.75415,1.66749,0.72404,1.34238,0.000693305,0.000693305,0.000693305
61,15190.9,0.67524,1.71126,0.57613,1.1991,0.90356,0.85012,0.87997,0.74454,0.93273,0.88208,0.90358,0.6253,0.79942,1.75093,0.76787,1.39653,0.000676802,0.000676802,0.000676802
62,15425.2,0.67261,1.78994,0.5522,1.21519,0.90897,0.89572,0.87751,0.73858,0.90331,0.88718,0.8745,0.62195,0.83014,1.79038,0.71528,1.42577,0.000660299,0.000660299,0.000660299
63,15654.4,0.66682,1.71186,0.54606,1.18208,0.91537,0.92335,0.90416,0.7519,0.95647,0.91917,0.92455,0.65892,0.79023,1.68484,0.6786,1.3752,0.000643795,0.000643795,0.000643795
64,15866.6,0.66167,1.71375,0.55073,1.19451,0.91691,0.88658,0.90528,0.77153,0.94759,0.91847,0.93225,0.6399,0.774,1.84592,0.66419,1.35603,0.000627292,0.000627292,0.000627292
65,16038.3,0.65618,1.69173,0.57846,1.19709,0.94251,0.87565,0.89824,0.74941,0.97566,0.90742,0.93491,0.62387,0.81175,1.87528,0.6071,1.42612,0.000610789,0.000610789,0.000610789
66,16204.1,0.65036,1.63604,0.53764,1.181,0.87766,0.88547,0.89774,0.74615,0.95142,0.89353,0.93124,0.63213,0.81433,1.68621,0.65885,1.42592,0.000594286,0.000594286,0.000594286
67,16369.9,0.64593,1.6643,0.5503,1.17453,0.95742,0.8609,0.91303,0.75955,0.9832,0.89712,0.96514,0.63141,0.83535,1.80641,0.67105,1.42663,0.000577782,0.000577782,0.000577782
68,16523.5,0.62386,1.66047,0.53515,1.17433,0.93591,0.86035,0.92844,0.77276,0.96976,0.89049,0.92861,0.6371,0.8567,1.9011,0.68639,1.44388,0.000561279,0.000561279,0.000561279
69,16675.6,0.6483,1.65981,0.54658,1.19132,0.90854,0.88019,0.90402,0.74425,0.95226,0.89662,0.91963,0.63027,0.78428,1.85661,0.63632,1.38014,0.000544776,0.000544776,0.000544776
70,16831.6,0.65151,1.66458,0.52901,1.19034,0.91898,0.87218,0.90552,0.74588,0.94986,0.90414,0.93233,0.63221,0.78447,1.80694,0.67575,1.36093,0.000528272,0.000528272,0.000528272
71,16978.1,0.639,1.67153,0.53561,1.17196,0.92194,0.87763,0.89627,0.7595,0.95299,0.90934,0.92873,0.63851,0.75299,1.9202,0.65723,1.36721,0.000511769,0.000511769,0.000511769
72,17134.4,0.62602,1.63694,0.5165,1.17156,0.91391,0.87407,0.88989,0.75004,0.94455,0.90578,0.9272,0.6286,0.79683,1.83612,0.65151,1.40221,0.000495266,0.000495266,0.000495266
